TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
17800,22.4,14.5,3.8,20.4,,production,transportation,material,moving,occupations
289,22.7,12,3.4,35.7,,dishwasher,,,,
3047,22.8,19.1,1.8,10.9,,protective,service,occupations,,
162,23.4,3,7.2,9,,drafter,,,,
1655,23.4,3.9,4,4.8,,chief,executives,,,
867,23.6,31,3,12.4,,guard,officer,,,
422,23.7,7.1,9.2,6.4,,analyst,,,,
217,23.9,0.9,1.7,4.6,,manager,,,,
751,24.4,1,0.7,2.4,,farmers,ranchers,,,
3676,24.8,7.2,16.7,5.1,,computer,mathematical,occupations,,
233,24.8,3.3,6.1,8.2,,architect,,,,
1287,26.1,6.9,4.9,11,,supervisor,worker,manager,,
80,26.7,8,5.1,27.4,,worker,,,,
309,26.8,14.6,6.7,38.4,,worker,,,,
152,27.2,3.3,12,5.2,,dentists,,,,
475,27.2,7.7,10.2,5.3,,manager,,,,
1343,27.3,3.9,3.8,8.6,,sales,representatives,wholesale,manufacturing,
837,27.5,9.7,13.7,5.3,,scientist,analyst,,,
382,27.7,11.1,8.2,7.9,,specialist,,,,
388,27.9,7.2,5.1,9.2,,securities,commodities,financial,services,sales
93,29.2,6.3,13.5,3.8,,database,administrators,,,
186,29.3,9.7,1.6,10.8,,worker,,,,
85,29.3,4,2.7,4.1,,scientist,geoscientist,,,
8973,29.7,12.2,5.2,21.1,,production,occupations,,,
403,30,22,0.6,10.4,,bailiff,officer,jailer,,
985,30.1,5.4,4.3,6.2,,manager,,,,
138,30.2,4.7,0.1,6.6,,technician,paramedic,,,
877,30.5,6.2,16.6,5.8,,surgeon,,,,
958,31,16.4,2.8,23.9,,worker,,,,
2125,32.2,18.4,3.4,28.2,,janitor,,,,
252,32.5,10.3,2.3,8.3,,worker,,,,
100,32.6,8.9,2.3,5.7,,manager,,,,
543,32.8,11.6,2.8,20.2,,clerk,,,,
373,33,14.5,6.4,9.8,,postal,service,mail,carriers,
118,33.1,4.7,22.3,6.9,,chemist,scientist,,,
102,33.4,5.2,2,7.2,,appraiser,,,,
430,34.3,5.9,5.9,6.1,,advisor,,,,
1014,34.4,4.6,2.9,3.8,,lawyer,,,,
521,34.4,8.9,4.5,8.8,,sales,representatives,services,,
1050,35,15.3,5.9,19.8,,assembler,,,,
53,35.2,18,6.9,7,,technician,,,,
1481,35.4,16.8,3.6,18.6,,clerk,,,,
3473,35.8,6.8,5.3,7.6,,manager,,,,
50,36.5,5.8,4.8,6.5,,manager,,,,
15852,37.4,6.4,4.6,7.3,,management,occupations,,,
154,38.5,8.9,4,7.3,,producers,directors,,,
155,38.6,7.2,3.2,10.3,,supervisor,worker,manager,,
110,38.8,6,12.9,9.8,,analyst,,,,
89,39.4,13.8,0.8,6.5,,investigator,,,,
296,39.9,18.6,1.1,23.7,,supervisor,manager,worker,,
1997,40.1,18.1,5,30.2,,cook,,,,
5445,40.2,15,2.8,33.4,,building,grounds,cleaning,maintenance,occupations
193,40.4,12.9,2.5,3.7,,manager,,,,
136,40.7,6.1,27.8,1.7,,scientist,,,,
751,41.3,13.4,5.8,14.2,,inspector,,,,
922,42,4.9,4.1,6.2,,manager,,,,
52,42.1,5.6,6.5,8,,practitioner,,,,
90,42.7,34.1,10.9,11.4,,operator,,,,
22059,42.7,7.2,5.2,7.5,,management,business,financial,operations,occupations
166,43,7.1,2.7,11.3,,attendant,worker,,,
3471,43.3,7.3,5.2,10.4,,supervisor,worker,manager,,
731,43.5,6.2,5.8,4.6,,analyst,,,,
54,43.6,6.8,0.3,3.2,,worker,,,,
181,44.1,4.3,3.9,10.1,,photographers,,,,
63,44.7,13.6,5.2,17.8,,weighers,measurers,checkers,samplers,recordkeeping
1039,44.8,7.3,11.8,12.9,,manager,,,,
94,45.4,2.1,3.9,2.9,,analyst,reporter,,,
1218,46.1,5.2,11.9,4,,teacher,,,,
1307,46.1,7.1,12,4.7,,life,physical,social,science,occupations
177,46.7,5.5,12.2,9.1,,manager,,,,
145362,46.7,11,4.8,14,,,,,,
573,46.9,7.6,2.7,9.4,,insurance,sales,agents,,
59,47,1.6,6.8,16.7,,worker,,,,
50,47.2,12.3,5.5,12.2,,logisticians,,,,
191,47.6,7.6,6.1,12.2,,wholesale,retail,buyers,farm,products
75,47.6,8.6,4.1,8.3,,analyst,,,,
349,47.8,13.1,5.6,26.9,,attendant,helper,bartender,,
53,47.8,8.1,12.7,11.8,,worker,operator,,,
2820,47.8,6.1,4.1,8.3,,arts,design,entertainment,sports,media
129,48.3,12.5,8.5,5.7,,technician,,,,
213,48.6,2,3.7,5.4,,worker,,,,
123,49,20.8,7.1,12.9,,clerk,operator,,,
651,49,30.4,1.8,12.2,,driver,,,,
16295,49.5,9.7,4.7,11.7,,sales,occupations,,,
558,49.6,7.7,3.1,8.2,,manager,,,,
161,50.4,14.8,7.9,13.7,,clerk,,,,
52761,50.8,8.3,6.3,7.1,,management,professional,occupations,,
134,51.4,19.9,4.3,5.1,,operator,,,,
111,51.5,13.1,21.8,3.5,,worker,,,,
261,51.5,15,5,42.5,,operator,,,,
243,51.8,8.7,12.6,2.5,,pharmacist,,,,
1671,51.9,7,2.8,6.6,,legal,occupations,,,
3416,52.2,10.7,4.1,12.3,,salesperson,,,,
179,52.3,7.9,3.1,6.4,,safety,transportation,,,
148,52.3,5.7,0.8,9.6,,lifeguard,worker,,,
132,52.3,8.1,24.8,2.7,,scientist,,,,
101,52.9,4.2,13.3,3.9,,scientist,,,,
73,53.5,11.7,6.2,29,,food,batchmakers,,,
167,53.7,27,8.5,10.5,,clerk,,,,
114,54.1,11.3,3.7,12.3,,worker,,,,
962,54.4,7.2,3.5,8.6,,real,estate,brokers,sales,agents
216,54.7,10.3,2.2,8.4,,advertising,sales,agents,,
171,54.8,3.5,2.5,2.2,,editor,,,,
1168,54.8,7.9,5.7,8.6,,manager,,,,
194,55.7,12.1,5,28.9,,baker,,,,
7824,56,12.1,5.4,21,,food,preparation,serving,occupations,
1210,56,7.2,1.8,6.5,,teacher,,,,
6207,56.2,9.4,6.5,7.9,,business,financial,operations,occupations,
264,56.5,6.7,4.8,11.2,,purchasing,agents,wholesale,retail,farm
56,56.7,4,3.7,4.1,,veterinarian,,,,
30702,56.7,9,7.1,6.7,,professional,occupations,,,
95,56.9,6.2,6.9,13.8,,technician,,,,
78,57,20.6,5.3,14.9,,specialist,,,,
134,57,5.7,3.3,5.8,,market,survey,researchers,,
64,57.1,17.5,8.3,5,,analyst,,,,
24451,57.2,15.9,4.6,20.2,,service,occupations,,,
186,57.3,4.1,1.1,3.3,,writer,,,,
286,57.4,15.9,1.9,11.8,,dispatchers,,,,
834,57.5,5.6,6.1,8.2,,designers,,,,
203,57.8,12.2,17.5,19.4,,assembler,,,,
635,57.8,14.4,3.8,14.1,,supervisor,manager,worker,,
392,58,10.6,4.4,11.5,,counselor,officer,,,
391,58.1,15.3,4.6,43.7,,packers,packagers,hand,,
269,58.2,8.9,3.7,7.3,,clerk,,,,
365,58.3,3.5,2.3,9.6,,bartender,,,,
112,58.8,11.8,1.5,18,,clerk,,,,
2293,60.3,19,2.5,8.9,,community,social,services,occupations,
64,60.3,3.5,,5.4,,manager,,,,
724,60.7,9.8,6.6,24.6,,worker,,,,
239,60.8,22.4,7.7,29.3,,worker,,,,
136,60.9,14.3,6.5,14.8,,clerk,,,,
1762,61.1,8.3,10.2,7.6,,accountant,auditor,,,
212,61.1,4.8,1.2,7.4,,worker,,,,
303,61.4,20.9,2.6,14.5,,specialist,,,,
135,61.6,5.1,1.7,7.3,,specialist,,,,
77,62.1,7.6,5.8,9.7,,manager,,,,
243,62.2,9.5,3.7,14.4,,worker,,,,
139,63,23.3,8.4,5.5,,technician,,,,
35544,63.2,11.5,4.2,12.3,,sales,office,occupations,,
50,63.4,7.5,0.3,8.4,,opticians,dispensing,,,
50,63.5,1.7,0.8,4.5,,directors,religious,activities,education,
323,64.1,12.2,4.5,15.4,,attendant,,,,
58,64.2,19.7,4.2,4.4,,examiner,collector,,,
829,65.1,12.2,2.6,7.6,,education,administrators,,,
63,65.3,13.6,4,59.3,,graders,sorters,agricultural,products,
95,65.6,10.1,0.8,11,,worker,,,,
312,65.7,14.6,3.6,7.6,,appraiser,examiner,investigator,,
70,65.8,28.1,0.1,4.7,,advisor,,,,
139,66.3,23.6,0.7,16.6,,telemarketers,,,,
254,66.3,12.2,9.2,10,,specialist,,,,
293,66.3,8.2,4,7.3,,manager,,,,
105,66.6,9.1,5.7,12.6,,tax,preparers,,,
99,66.9,6.6,5.2,9.3,,assistant,,,,
751,66.9,9.3,3.8,8.2,,teacher,instructor,,,
176,66.9,7.2,3.1,6.6,,psychologist,,,,
232,68,20,2.2,18.2,,collector,,,,
674,68,20.5,2.2,8.9,,counselor,,,,
353,68.1,9.6,3.3,9.5,,worker,,,,
338,68.1,10.1,2.2,7.7,,manager,,,,
109,68.3,10.4,4.6,7.4,,therapist,,,,
1908,68.3,18.3,3.7,14.5,,customer,service,representatives,,
323,68.5,15.6,2,17.2,,worker,,,,
197,69,3.9,13,3.5,,therapist,,,,
561,69.4,10.1,4.2,7.3,,manager,,,,
187,70.5,20.5,6.5,18,,food,servers,nonrestaurant,,
803,70.7,14,3.5,7.9,,specialist,,,,
139,71,16.8,3.3,13.1,,attendant,,,,
64,71.1,12.7,1.4,12.1,,clerk,,,,
1641,71.2,10.4,3.4,10.5,,worker,,,,
98,71.6,9.8,10.3,6.4,,travel,agents,,,
120,71.9,19.1,3.9,9.6,,clerk,,,,
298,72,8.8,5.3,5,,technician,,,,
83,72.2,6.1,12.1,27.4,,worker,,,,
174,73.2,11.1,13.8,7.5,,supervisor,worker,manager,,
2010,73.2,7.3,6.2,14.6,,waiter,,,,
157,73.5,2.9,1.9,12.3,,nonfarm,animal,caretakers,,
68,73.5,29.9,0.4,16.4,,guard,,,,
8605,74,9.2,3.8,7.5,,education,training,library,occupations,
257,74.5,10,3.9,13.3,,worker,,,,
7399,74.6,10.2,8,5.9,,practitioner,,,,
19249,74.8,13,3.7,12.8,,office,administrative,support,occupations,
3031,75.5,16.3,6.4,16.6,,cashier,,,,
100,75.6,11.1,3.7,10.5,,clerk,,,,
351,75.7,14.6,8.8,9,,technician,,,,
101,76,6.1,3.6,5.5,,worker,,,,
447,76.7,10.8,5.2,10.8,,technician,practitioner,,,
75,77,8.4,4,8,,assistant,aide,therapist,,
415,77.3,17.6,5.2,12.9,,data,entry,keyers,,
558,77.3,13.1,4.8,9.6,,worker,,,,
226,78.2,9.4,14.1,36.8,,operator,,,,
4923,78.4,14.7,7.4,14.2,,personal,care,service,occupations,
74,79,8,6.7,6.6,,models,demonstrators,product,promoters,
55,79.2,14,4.1,6.2,,planner,,,,
57,79.2,19.7,10,41,,pressers,textile,garment,materials,
729,79.4,24.5,2.9,10,,worker,,,,
82,80.3,13.3,5.5,7.1,,underwriter,,,,
107,80.8,14.7,2.6,3.7,,therapist,,,,
2958,81.2,9.9,2.2,6.8,,teacher,,,,
146,82.2,18.4,1.9,17.7,,interviewers,eligibility,loan,,
229,82.3,4.4,55,6.3,,worker,,,,
275,83.4,19.4,2.8,12.2,,clerk,,,,
197,83.5,6.7,3.5,3.7,,librarian,,,,
107,83.8,8.9,4.5,5.7,,assistant,,,,
364,83.8,15.5,4.4,12,,clerk,,,,
63,83.9,22.1,6.5,23.7,,eligibility,interviewers,government,programs,
71,84.2,6.1,12.2,24.4,,tailors,dressmakers,sewers,,
1176,84.4,15.4,4.7,14.1,,clerk,,,,
147,84.5,7,8,7.4,,therapist,,,,
122,84.7,7.1,2.4,18.3,,clerk,,,,
