label,prestige_mean,prestige_sd,total_employed
surgeon,80.00000000000001,1.4210854715202004e-14,40271057.8092
dentists,63.00000000000001,7.105427357601002e-15,8920106.1879
lawyer,62.0,0.0,50204458.6917
pilot,52.00000000000001,7.105427357601002e-15,6515867.9758
architect,50.73569692966744,7.608856020585564,11242399.8562
engineer,43.74013130990854,6.253365993262156,143674287.48250002
tax,42.00000000000001,7.105427357601002e-15,3865730.2112
optometrists,42.0,0.0,1995672.8331
purchasing,42.0,0.0,14957148.9564
chief,42.0,0.0,39868184.6828
producers,41.99999999999999,7.105427357601002e-15,6856238.161800001
estimator,41.99999999999999,7.105427357601002e-15,3138893.1061000004
wholesale,41.99999999999999,7.105427357601002e-15,11801035.8557
astronomers,41.00000000000001,7.105427357601002e-15,1356270.7495
pharmacist,40.0,0.0,12713392.7531
chemist,40.0,0.0,7314285.141799999
securities,40.0,0.0,16696955.6171
scientist,39.815801898544905,3.289828733545178,27229078.5577
supervisor,39.675261496177335,5.88415885135458,432345887.1119
planner,39.43670005211256,4.0619198549635565,4197833.0436
manager,39.426641436659374,6.556312941249551,746485687.7748001
actuaries,39.00000000000001,7.105427357601002e-15,1058412.2504999998
psychologist,39.0,0.0,10534505.7336
economists,39.0,0.0,716358.5195
mathematical,39.0,0.0,4520367.1706
editor,39.0,0.0,12033376.0084
designers,38.0,0.0,37527302.5439
accountant,38.0,0.0,87274375.2815
analyst,37.9202466324852,5.256644056174815,93715853.6674
examiner,37.84765758210165,0.3593524810088691,2043871.1463
advisor,37.37757105208901,7.995526749799247,12059022.2365
counselor,37.30855964422128,4.495925999188523,51021075.5996
transportation,37.0,0.0,693251.6595000001
tool,37.0,0.0,7310674.738499999
specialist,36.264415132070646,3.554073826681066,45389723.874400005
emergency,36.00000000000001,7.105427357601002e-15,147282.53849999997
underwriter,36.00000000000001,7.105427357601002e-15,4463610.4497
insurance,36.0,0.0,34118648.2955
appraiser,35.88281593849159,0.3216394833300145,19778327.8414
travel,35.00000000000001,7.105427357601002e-15,2123817.5693
advertising,34.99999999999999,7.105427357601002e-15,9758216.8502
real,34.99999999999999,7.105427357601002e-15,45662492.98290001
millwrights,34.00000000000001,7.105427357601002e-15,5180892.7413
electrician,34.00000000000001,7.105427357601002e-15,45234789.1693
postal,34.0,0.0,18574522.3596
drafter,34.0,0.0,13683023.9681
boilermakers,34.0,0.0,2028938.4867
officer,33.0821743755018,2.407830861854324,47495903.7786
logisticians,33.0,0.0,2532968.8216
developer,33.0,0.0,40030050.8061
pipelayer,33.0,0.0,33235098.7583
network,33.0,0.0,5151077.5231
etchers,33.0,0.0,1101889.4586
